rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,text
rec-442-dup-0,connor,bishop,27,jarreah,mackinnon street,aspley,6052,,19200417,8871067,connor bishop jarreah mackinnon street aspley 6052  19200417
rec-1671-dup-0,connor,shepherd,39,burnage place,rowethorpe,winstonhills,3183,nsw,19320907,5731308,connor shepherd burnage place rowethorpe winstonhills 3183 nsw 19320907
rec-1816-dup-1,natalia,gredn,358,macrossan crescent,newman medicajl centre,yagoona,2535,qld,19910111,3131587,natalia gredn macrossan crescent newman medicajl centre yagoona 2535 qld 19910111
rec-459-dup-4,georgia,pettigrove,5,sinclair street,pinds,prairei,2478,nsw,19231019,9695933,georgia pettigrove sinclair street pinds prairei 2478 nsw 19231019
rec-1881-dup-1,wilson,pitno,11,bousteadcircuit,jewells medical centre,granville,3161,qld,19971229,8930019,wilson pitno bousteadcircuit jewells medical centre granville 3161 qld 19971229
rec-729-org,andrew,klander,20,newman morris circuit,the willows,homebush,2285,vic,19761017,5392569,andrew klander newman morris circuit the willows homebush 2285 vic 19761017
rec-575-dup-1,tahni,skeen,11,macfarland crescent,,ryde,3220,,19231110,4111794,tahni skeen macfarland crescent  ryde 3220  19231110
rec-1688-org,kasey,millar,,burdekin avenue,crown allot,woollahra,4217,qld,19930714,7442486,kasey millar burdekin avenue crown allot woollahra 4217 qld 19930714
rec-292-dup-0,keziah,parr,20,clift crecent,bro okvale,murphys rceek,2761,nsw,19550103,3697304,keziah parr clift crecent bro okvale murphys rceek 2761 nsw 19550103
rec-834-dup-0,braecon,schuetz,122,howarth place,villa 19,alice springs,2028,vic,19440909,5276446,braecon schuetz howarth place villa 19 alice springs 2028 vic 19440909
rec-1943-dup-0,nemesia,grifefn,10,derrington c rescent,hd curramulka,beechboro,2262,nsw,19870509,9760949,nemesia grifefn derrington c rescent hd curramulka beechboro 2262 nsw 19870509
rec-1611-dup-0,,white,21,boobialla street,sheep s tation,carlingford,2830,qld,19241214,2042443, white boobialla street sheep s tation carlingford 2830 qld 19241214
rec-1706-dup-2,quilliam,ashleigh,57,bedford s treet,rosall,surrey hills,6525,nsw,19460730,6408579,quilliam ashleigh bedford s treet rosall surrey hills 6525 nsw 19460730
rec-462-org,jacqueline,daykin,21,mackie crescent,logan central plaza,pottsville beach,2213,qld,19510605,1615186,jacqueline daykin mackie crescent logan central plaza pottsville beach 2213 qld 19510605
rec-1626-org,amelia,benger,51,macalister crescent,,sippy downs,4110,nsw,19420909,8671640,amelia benger macalister crescent  sippy downs 4110 nsw 19420909
rec-408-dup-2,rily,gloster,24,farrerplace,,frankston,3178,nsw,19590124,2526809,rily gloster farrerplace  frankston 3178 nsw 19590124
rec-1224-org,lily,thorpe,313,rivett place,thurlgona,mount gravatt,6104,wa,19310318,9216585,lily thorpe rivett place thurlgona mount gravatt 6104 wa 19310318
rec-1561-dup-2,lary,slape,11,lamington street,rosehe ll,albany creek,6020,wa,19010927,2204911,lary slape lamington street rosehe ll albany creek 6020 wa 19010927
rec-1723-dup-1,joshua,linnell,2,lambrigg treet,craigie ela garden,rowville,3185,qld,19480511,7096343,joshua linnell lambrigg treet craigie ela garden rowville 3185 qld 19480511
rec-1723-org,joshua,linnell,2,lambrigg street,craigie lea garden,balwyn north,3185,qld,19480511,7096343,joshua linnell lambrigg street craigie lea garden balwyn north 3185 qld 19480511
rec-182-org,sophie,grubb,36,furphy place,mid city centre,cottles bridge,5091,qld,19230322,3779522,sophie grubb furphy place mid city centre cottles bridge 5091 qld 19230322
rec-1781-org,john,slywka,33,gowrie court,boxwood vale,north ward,6014,tas,19590803,5011995,john slywka gowrie court boxwood vale north ward 6014 tas 19590803
rec-1614-org,alexandra,robson,4,brunswick circuit,keith payne hstl,mount sophia,5024,nsw,19470726,5974014,alexandra robson brunswick circuit keith payne hstl mount sophia 5024 nsw 19470726
rec-885-org,stella,chandler,50,ebden street,rosetta village,coffs harbour,6304,vic,19741215,8164610,stella chandler ebden street rosetta village coffs harbour 6304 vic 19741215
rec-1690-dup-2,thomas,white,706,monaro crescent,birra billa,point lofsdale,2088,wa,19310818,5855559,thomas white monaro crescent birra billa point lofsdale 2088 wa 19310818
rec-1217-dup-0,hannah,bloomfield,7,ferguson circuit,crown allotment,oakden,7253,nsw,19130806,1605711,hannah bloomfield ferguson circuit crown allotment oakden 7253 nsw 19130806
rec-1830-dup-2,,kochiwama,44,antares crescent,telopea p ark,benowa,7017,nsw,19000626,2398260, kochiwama antares crescent telopea p ark benowa 7017 nsw 19000626
rec-208-org,lauren,bradshaw,130,ashcroft crescent,upa cottages,stirling north,2198,vic,19301022,1926163,lauren bradshaw ashcroft crescent upa cottages stirling north 2198 vic 19301022
rec-32-dup-0,willow,froscio,378,yandastreet,,keilor,5022,vic,19091226,6630637,willow froscio yandastreet  keilor 5022 vic 19091226
rec-799-org,sophie,nicolle,112,garling street,spring creek,kotara,4740,nt,19111001,7492384,sophie nicolle garling street spring creek kotara 4740 nt 19111001
rec-729-dup-0,andrew,klander,20,newman morois circuit,the willows,homebush,2285,vic,19761017,5392569,andrew klander newman morois circuit the willows homebush 2285 vic 19761017
rec-856-dup-0,angus,stanley,6,lazar place,koobeja,floradhill,7008,qld,19971003,1076050,angus stanley lazar place koobeja floradhill 7008 qld 19971003
rec-1128-org,jack,stubbs,150,heard street,summerset,st agnes,5344,qld,19890526,1690126,jack stubbs heard street summerset st agnes 5344 qld 19890526
rec-365-dup-1,matthew,leong,5,kavelstreet,glen-mwria,minchinbfry,6153,nsw,19170916,1648925,matthew leong kavelstreet glen-mwria minchinbfry 6153 nsw 19170916
rec-885-dup-1,stella,chandler,50,ebden street,rosetta vlilage,coffs harbour,6304,vic,19741215,8587561,stella chandler ebden street rosetta vlilage coffs harbour 6304 vic 19741215
rec-642-dup-2,katel byn,colegte,55,fiveas hstreet,retirement village,londonderry,2195,nsw,19280828,4406021,katel byn colegte fiveas hstreet retirement village londonderry 2195 nsw 19280828
rec-854-dup-0,ebiny,morby,,condavale,macgillivray street,armidale,2111,nsw,19840906,3945914,ebiny morby condavale macgillivray street armidale 2111 nsw 19840906
rec-421-dup-3,charlie,ebert,21,brewster place,summerdale medical centre,franskton,4570,vic,19711020,3939901,charlie ebert brewster place summerdale medical centre franskton 4570 vic 19711020
rec-1560-dup-2,charlotte,hylnand,25,madsen place,leisure lvikng vlge,clarinda,3108,qld,19820410,9354762,charlotte hylnand madsen place leisure lvikng vlge clarinda 3108 qld 19820410
rec-1929-dup-1,cheree,purtell,1,spring rsnge road,guest village (cnrubullcreek d drive,cooma,6111,wa,19300407,5062347,cheree purtell spring rsnge road guest village (cnrubullcreek d drive cooma 6111 wa 19300407
rec-1992-org,laura,ryan,3,officer crescent,craigie-lea,orange,2289,vic,19120402,4198979,laura ryan officer crescent craigie-lea orange 2289 vic 19120402
rec-1693-dup-1,feilcity,godfrey,16,stuckey place,oaklands village,slacks creek,6050,nsw,19361030,6452813,feilcity godfrey stuckey place oaklands village slacks creek 6050 nsw 19361030
rec-665-dup-0,matthew,paine,7,mcintyre street,urunga,moulyinning,7000,nws,19250117,6277575,matthew paine mcintyre street urunga moulyinning 7000 nws 19250117
rec-501-org,mikhayla,campbell,9,baynton street,st francis vlge,notting hill,4350,qld,19280711,9484120,mikhayla campbell baynton street st francis vlge notting hill 4350 qld 19280711
rec-1057-dup-2,charlie,roussonuis,13,gledden street,woorabinda,craigmore,6026,nsw,19461111,7379154,charlie roussonuis gledden street woorabinda craigmore 6026 nsw 19461111
rec-561-dup-1,dale,fimeri,37,burdett crescent,star court arcade,wilson,6618,nsw,19930529,7559543,dale fimeri burdett crescent star court arcade wilson 6618 nsw 19930529
rec-540-dup-2,jaime,,342,elliott street,kildarra,bedfordale,2081,qld,19631110,8789539,jaime  elliott street kildarra bedfordale 2081 qld 19631110
rec-408-org,riley,gloster,24,farrer place,,frankston,3178,nsw,19590124,2526809,riley gloster farrer place  frankston 3178 nsw 19590124
rec-636-dup-3,charlie,goode,7,tauss place,grahdview,,2575,vic,19761213,6548135,charlie goode tauss place grahdview  2575 vic 19761213
rec-918-dup-1,chloe,pantazopoulos,147,allott place,wyoming park,aldgate,2325,nsw,19860807,9036067,chloe pantazopoulos allott place wyoming park aldgate 2325 nsw 19860807
rec-929-org,corey,condo,5,andamooka street,coolinda,hillston,2026,nsw,19900616,4204990,corey condo andamooka street coolinda hillston 2026 nsw 19900616
rec-1489-org,emiily,berry,3,tenison-woods circuit,,ashfield,6169,nsw,19780527,6459366,emiily berry tenison-woods circuit  ashfield 6169 nsw 19780527
rec-427-dup-3,emmet,weller,11,copland drive,,birmingham gardens,4365,wa,19270516,6281502,emmet weller copland drive  birmingham gardens 4365 wa 19270516
rec-15-org,liam,tuttleby,5,verco street,rose-lea,trevallyn,2259,qld,19080101,4376020,liam tuttleby verco street rose-lea trevallyn 2259 qld 19080101
rec-316-dup-0,karfissa,creten,185,beattie cescent,birrabilla,moranbah,2525,nsw,19360703,2328993,karfissa creten beattie cescent birrabilla moranbah 2525 nsw 19360703
rec-1498-dup-0,isabelle,kaminskas,106,isis close,westholme,port augusta,2765,qls,19060622,5344955,isabelle kaminskas isis close westholme port augusta 2765 qls 19060622
rec-910-dup-1,jayden,browne,80,kincumber nautical vlge,chaseling street,sussex inlet,2630,nsw,19430306,2825950,jayden browne kincumber nautical vlge chaseling street sussex inlet 2630 nsw 19430306
rec-1355-org,melissa,lanzotti,24,balfour crescent,killara lodge,cranbourne,2064,vic,19810828,7433231,melissa lanzotti balfour crescent killara lodge cranbourne 2064 vic 19810828
rec-1648-dup-0,bailee,dent,58,maddoc k place,jingara,nowra,4171,qld,19950112,4080299,bailee dent maddoc k place jingara nowra 4171 qld 19950112
rec-658-dup-1,quinn,godfrey,21,duffy street,ardersidr,highotn,3165,vic,19450122,3298961,quinn godfrey duffy street ardersidr highotn 3165 vic 19450122
rec-1190-dup-1,charlie,stanley,,amagula avenue,,klemzig,3356,vic,19510717,6800801,charlie stanley amagula avenue  klemzig 3356 vic 19510717
rec-1876-dup-0,jazz,stephenson,210,julia flynn avenue,,ingleubrn,3172,sa,19401214,4166094,jazz stephenson julia flynn avenue  ingleubrn 3172 sa 19401214
rec-305-org,aleisha,mcelwee,34,osburn drive,parraweena,condell park,5237,act,19440525,2532051,aleisha mcelwee osburn drive parraweena condell park 5237 act 19440525
rec-152-org,amber,blackwell,25,thomson street,,salisbury,3188,nsw,19860325,5701396,amber blackwell thomson street  salisbury 3188 nsw 19860325
rec-1829-dup-0,shakiroh,evans-zijlstra,1,ashkanasycrescent,townview,robina,2340,vic,19510905,4746855,shakiroh evans-zijlstra ashkanasycrescent townview robina 2340 vic 19510905
rec-805-dup-2,,shelley,90,cromwell circuit,wombat hill,noble apark,2026,vic,19780711,2664293, shelley cromwell circuit wombat hill noble apark 2026 vic 19780711
rec-480-dup-1,aiden,ryan,292,honey patch,gundulu place,mosman,3076,wa,19360524,3804933,aiden ryan honey patch gundulu place mosman 3076 wa 19360524
rec-1200-dup-2,william,lazavroff,431,leahy lose,millwood,forbes,7256,qld,19780204,8072193,william lazavroff leahy lose millwood forbes 7256 qld 19780204
rec-717-org,jamie,van galen,64,callister crescent,mowbray,hackham,3060,nsw,19720909,3179404,jamie van galen callister crescent mowbray hackham 3060 nsw 19720909
rec-618-org,isabella,hendricks,86,colborne place,dog rock shopping centre,north ryde,2000,nsw,19770129,9899655,isabella hendricks colborne place dog rock shopping centre north ryde 2000 nsw 19770129
rec-1509-org,lucas,benger,19,cunningham street,padicam,melton south,2232,nsw,19851030,5458466,lucas benger cunningham street padicam melton south 2232 nsw 19851030
rec-1368-org,harrison,doman,20,harry hopman circuit,moline village,toowong,2088,sa,19570519,1542335,harrison doman harry hopman circuit moline village toowong 2088 sa 19570519
rec-879-dup-1,clarke,isabella,59,gillespie street,,mount victoria,2147,act,19950110,4409764,clarke isabella gillespie street  mount victoria 2147 act 19950110
rec-1668-dup-1,emmerson,loyck,5,burnie treet,gordale,thursday island,3147,vic,19211129,3901477,emmerson loyck burnie treet gordale thursday island 3147 vic 19211129
rec-794-org,sarah,behnke,3,pearson street,broombie stud,ramornie,2209,vic,19930910,8625215,sarah behnke pearson street broombie stud ramornie 2209 vic 19930910
rec-1917-dup-3,angus,rees,5,heatonnplace,pangani,new farm,6210,nsw,19220723,8576362,angus rees heatonnplace pangani new farm 6210 nsw 19220723
rec-1081-dup-1,jordan,vaile,12,mullan street,rosewynne,mansfield,4153,qld,19940914,7672358,jordan vaile mullan street rosewynne mansfield 4153 qld 19940914
rec-568-org,tate,hingston,159,oxley street,wylarah,kurri kurri,5045,nsw,19680521,1954716,tate hingston oxley street wylarah kurri kurri 5045 nsw 19680521
rec-1333-org,charlotte,bovill,28,vickery street,cashbar,scarborough,3911,vic,19730412,5083623,charlotte bovill vickery street cashbar scarborough 3911 vic 19730412
rec-368-org,emma,matthews,39,vanzetti crescent,sunny brees,moorabbin,5158,qld,19910426,1091439,emma matthews vanzetti crescent sunny brees moorabbin 5158 qld 19910426
rec-666-org,sophie,nguyen,26,namoi place,,mount colah,2550,nsw,19701117,2122377,sophie nguyen namoi place  mount colah 2550 nsw 19701117
rec-1991-dup-3,kai,white,8,cockcrofqt avenue,allunga,parramaxta,4197,,19551009,5791061,kai white cockcrofqt avenue allunga parramaxta 4197  19551009
rec-1878-org,blade,stingle,34,earle place,upper warrell,kellyville,5046,,19220925,6748586,blade stingle earle place upper warrell kellyville 5046  19220925
rec-528-dup-2,rosie,rundle,8,sturt avneue,talonmane,bundaberg,2263,nt,19751109,9092692,rosie rundle sturt avneue talonmane bundaberg 2263 nt 19751109
rec-1180-dup-0,wanders,harry,120,morehead street,carrington trrmnt vlge,trevallyn,7205,sa,19121013,8289232,wanders harry morehead street carrington trrmnt vlge trevallyn 7205 sa 19121013
rec-1794-org,harrison,matthiessen,3,harbison crescent,oakdale,port kembla,2619,wa,19580430,4684373,harrison matthiessen harbison crescent oakdale port kembla 2619 wa 19580430
rec-1130-dup-0,lauren,sounness,18,leist street,moondani,seaforth,0832,qld,19900129,6693616,lauren sounness leist street moondani seaforth 0832 qld 19900129
rec-569-dup-2,tommy,spinato,29,howie court,,ballarat,3356,nsw,19821129,4527826,tommy spinato howie court  ballarat 3356 nsw 19821129
rec-860-dup-0,connor,mayman,40,marenghoplace,wilga,toowoomba,2025,nsw,19651018,8203430,connor mayman marenghoplace wilga toowoomba 2025 nsw 19651018
rec-1667-dup-1,amber,pamplin,58,milton,sturt acenue,thornlie,5040,wa,19370407,1824555,amber pamplin milton sturt acenue thornlie 5040 wa 19370407
rec-1337-dup-2,nathab,priest,363,banks street,manresa,malvern east,4750,act,19710428,4665603,nathab priest banks street manresa malvern east 4750 act 19710428
rec-1901-dup-2,casey,vitkunas,22,jones place,karinga park,emmaville,2346,tas,19551192,2474313,casey vitkunas jones place karinga park emmaville 2346 tas 19551192
rec-125-dup-1,silas,webbm,20,jacka crvscent,shopping centre,nambour,4306,vic,19580212,7373672,silas webbm jacka crvscent shopping centre nambour 4306 vic 19580212
rec-78-dup-0,nicholas,fittock,10,fortitudey street,,st kilda east,2298,nt,19651025,8437365,nicholas fittock fortitudey street  st kilda east 2298 nt 19651025
rec-1685-org,jayden,liberts,3,odern place,peppertree,corryong,2614,qld,19341218,5242447,jayden liberts odern place peppertree corryong 2614 qld 19341218
rec-1706-org,ashleigh,quilliam,57,bedford street,rosall,surrey hills,6525,nsw,19460730,6408479,ashleigh quilliam bedford street rosall surrey hills 6525 nsw 19460730
rec-1953-org,joel,ryan,26,lance hill avenue,cameroo,forest hill,3070,nsw,19720615,7563426,joel ryan lance hill avenue cameroo forest hill 3070 nsw 19720615
rec-115-org,danjel,vincent,7,forbes street,villa 3,toukley,3178,qld,19510703,8506548,danjel vincent forbes street villa 3 toukley 3178 qld 19510703
rec-1068-org,jasper,jennion,16,fitzhardinge crescent,lords house,glenside,4034,nsw,19720414,5825359,jasper jennion fitzhardinge crescent lords house glenside 4034 nsw 19720414
rec-1981-dup-1,chloe,crosthwaite,42,ashkanasy crescent,,canterbury,4215,nsw,19550722,8848058,chloe crosthwaite ashkanasy crescent  canterbury 4215 nsw 19550722
rec-479-dup-2,natqlee,coleman,293,minns place,,waterman,3910,vic,19110405,3646292,natqlee coleman minns place  waterman 3910 vic 19110405
rec-224-org,sophie,laundy,15,la perouse street,k mart plaza,eight mile plains,3981,vic,19021029,8888208,sophie laundy la perouse street k mart plaza eight mile plains 3981 vic 19021029
rec-755-dup-2,reuven,edgecombe,6,ashburton circuit,north vaenue,palmerston,4231,vic,19540701,8642119,reuven edgecombe ashburton circuit north vaenue palmerston 4231 vic 19540701
rec-1667-dup-0,amber,pamplin,14,andrea palce,milton,seven hills,5054,wa,19691006,1824555,amber pamplin andrea palce milton seven hills 5054 wa 19691006
rec-1511-org,ayla,benjamin,3,bradfield street,concept,tatura,2030,wa,,4452328,ayla benjamin bradfield street concept tatura 2030 wa 
rec-1387-org,,kempton,8,homburg street,yellow dam,blacktown,3122,vic,19021108,8283089, kempton homburg street yellow dam blacktown 3122 vic 19021108
rec-1093-org,dylan,wilkins,18,denovan circuit,two tree hill,brighton-le-sands,2320,nsw,,8735875,dylan wilkins denovan circuit two tree hill brighton-le-sands 2320 nsw 
rec-1518-org,sienna,slape,52,rene street,,burleigh waters,4034,vic,19400331,7340083,sienna slape rene street  burleigh waters 4034 vic 19400331
rec-1014-dup-2,michael,laverty,6,hytten place,sennockke,suffolk park,2208,vic,19631213,9807797,michael laverty hytten place sennockke suffolk park 2208 vic 19631213
rec-824-dup-0,jake,grosser,3,lexcen a venue,horseshoe bend,bomaderry,2161,vic,19670227,8695287,jake grosser lexcen a venue horseshoe bend bomaderry 2161 vic 19670227
rec-718-org,madison,maynard,257,holmes crescent,glenview,embleton,2154,nsw,19400506,3031454,madison maynard holmes crescent glenview embleton 2154 nsw 19400506
rec-285-org,byron,wisowaty,58,pera place,john flynn medical centre,caulfield,6101,,19320304,8901022,byron wisowaty pera place john flynn medical centre caulfield 6101  19320304
rec-1857-dup-4,layla,thrussell,27,markell p lace,,frenchs forest,6728,qld,19250608,1947368,layla thrussell markell p lace  frenchs forest 6728 qld 19250608
rec-1590-org,jack,mcneeley,39,keverstone circuit,royal queensland yacht squadron,brighton-le-sands,4702,wa,19880329,1834993,jack mcneeley keverstone circuit royal queensland yacht squadron brighton-le-sands 4702 wa 19880329
rec-1996-org,grace,timmermans,18,cussen street,hallsville,preston,2251,wa,19501207,6702521,grace timmermans cussen street hallsville preston 2251 wa 19501207
rec-1540-dup-2,carly,benger,61,gellibrand street,gradnview,carnegie,4011,nsw,19710126,5651019,carly benger gellibrand street gradnview carnegie 4011 nsw 19710126
rec-935-dup-0,brydee,westermann,13,burkitt street,mlc centre,banks,3352,vic,19910126,1387695,brydee westermann burkitt street mlc centre banks 3352 vic 19910126
rec-1183-org,isaac,clarke,1,armytage circuit,oaklands village,annangrove,3636,vic,19570425,9451125,isaac clarke armytage circuit oaklands village annangrove 3636 vic 19570425
rec-1062-dup-1,madison,dixson,37,,white lodge,ringwoid,5047,sa,19940413,7161189,madison dixson  white lodge ringwoid 5047 sa 19940413
rec-256-dup-0,fraser,tadege,1,mcinneswstreet,,scarborojgh,2870,nsw,19001013,3817644,fraser tadege mcinneswstreet  scarborojgh 2870 nsw 19001013
rec-1140-org,lara,chandler,42,dempster place,henry kendall bayside,kingaroy,2219,nsw,19360624,3577228,lara chandler dempster place henry kendall bayside kingaroy 2219 nsw 19360624
rec-1895-dup-3,hollv,shepherd,3,stillwell place,elstoh,albion park rail,6201,vic,19800323,4620818,hollv shepherd stillwell place elstoh albion park rail 6201 vic 19800323
rec-401-dup-4,alexa-rose,white,22,warrego circuit,burnisde,bayswater,3040,nt,19160822,2502613,alexa-rose white warrego circuit burnisde bayswater 3040 nt 19160822
rec-571-org,oliver,cureton,164,drevermann street,burraminga,toronto,3149,qld,19920126,9218356,oliver cureton drevermann street burraminga toronto 3149 qld 19920126
rec-133-dup-4,benjamin,muog,302,peat place,arlnigton,frankston,4518,nsw,19101008,5994946,benjamin muog peat place arlnigton frankston 4518 nsw 19101008
rec-1534-dup-4,isabella,runlde,8,fawkner street,emerald agrigulural college,pottsville,6154,nsw,,6097070,isabella runlde fawkner street emerald agrigulural college pottsville 6154 nsw 
rec-421-org,charlie,ebert,21,brewster place,summerdale medical centre,frankston,4570,vic,19711020,3939901,charlie ebert brewster place summerdale medical centre frankston 4570 vic 19711020
rec-1566-dup-3,haryr,clarke,,hyndes crescent,royal brisbane hospital,homebush,4805,nsw,19971021,6391939,haryr clarke hyndes crescent royal brisbane hospital homebush 4805 nsw 19971021
rec-165-org,hayden,ngai,40,hinkler street,berajondo,nightcliff,2263,vic,19970624,2260097,hayden ngai hinkler street berajondo nightcliff 2263 vic 19970624
rec-1617-org,samuel,wasley,12,earle street,university shores,northbridge,2530,nsw,19461003,2561997,samuel wasley earle street university shores northbridge 2530 nsw 19461003
rec-152-dup-0,amber,black well,25,thomso n street,warrina lakes,salisbury,3188,nsw,19860325,2016958,amber black well thomso n street warrina lakes salisbury 3188 nsw 19860325
rec-203-org,micaela,blackwell,,lewin street,rosedina,dulwich hill,4103,nsw,19791204,7856388,micaela blackwell lewin street rosedina dulwich hill 4103 nsw 19791204
rec-961-org,callie,bullock,7,warramoo crescent,kanangra hstl,noble park,2650,tas,19351013,6636494,callie bullock warramoo crescent kanangra hstl noble park 2650 tas 19351013
rec-1610-org,sian,beelitz,3,ashkanasy crescent,miowera,sylvania,5042,nsw,19510904,3279804,sian beelitz ashkanasy crescent miowera sylvania 5042 nsw 19510904
rec-1487-org,daniel,clarke,3,goldsborough close,,wilson,2206,wa,19630507,9886493,daniel clarke goldsborough close  wilson 2206 wa 19630507
rec-1446-org,riley,faull,32,turner place,margaret river carvn park,long jetty,2033,nsw,19640728,8404785,riley faull turner place margaret river carvn park long jetty 2033 nsw 19640728
rec-118-org,riley,wegemer,45,phillip avenue,walhalla,cremorne,3937,wa,19540621,9657253,riley wegemer phillip avenue walhalla cremorne 3937 wa 19540621
rec-486-dup-0,alexandra,knapman,16,mceacherncxrescent,villa 306,chelsea heights,3429,sa,19151113,6888119,alexandra knapman mceacherncxrescent villa 306 chelsea heights 3429 sa 19151113
rec-1388-dup-0,niocla,collier,,schaff eyr place,mt styrt,sheidow park,2098,nsw,19420623,8536431,niocla collier schaff eyr place mt styrt sheidow park 2098 nsw 19420623
rec-703-org,emiily,vodden,41,clement place,arcadia,st johns park,2170,nsw,19811218,9588930,emiily vodden clement place arcadia st johns park 2170 nsw 19811218
rec-732-dup-1,cassandra,rafanelli,3025,,berragoon,st slbans,3020,wa,19270701,7377790,cassandra rafanelli  berragoon st slbans 3020 wa 19270701
rec-286-dup-2,dominxic,flockhart,2,oxley street,clear creek,northgate,3000,wa,19890621,5173538,dominxic flockhart oxley street clear creek northgate 3000 wa 19890621
rec-1031-org,samantha,sabieray,68,quandong street,wattle brae,gorokan,4019,wa,19590807,2863290,samantha sabieray quandong street wattle brae gorokan 4019 wa 19590807
rec-286-dup-4,dominic,flockhdart,26,oxley street,clear creek,northgate,3001,wa,19890621,5173538,dominic flockhdart oxley street clear creek northgate 3001 wa 19890621
rec-13-org,harrison,paulka,211,bourne street,tally ho,ballina,3976,vic,19260122,4721250,harrison paulka bourne street tally ho ballina 3976 vic 19260122
rec-299-org,toby,maczkowiack,8,kanooka street,carinya vlge,canley vale,3219,nsw,19000328,7799632,toby maczkowiack kanooka street carinya vlge canley vale 3219 nsw 19000328
rec-1442-org,ruby,jeffries,73,forbes street,underwood,st albans,4165,nsw,19490705,8939903,ruby jeffries forbes street underwood st albans 4165 nsw 19490705
rec-779-dup-2,charlotte,mccraken,5,,flr 5 john flynnmedical centre,bligh park,4814,nsw,19570529,6092940,charlotte mccraken  flr 5 john flynnmedical centre bligh park 4814 nsw 19570529
rec-375-dup-2,sma,webb,5,deamer cerescent,belaradah,west lakes shore,2570,wa,19361215,4408444,sma webb deamer cerescent belaradah west lakes shore 2570 wa 19361215
rec-1883-dup-1,jonah,nguyen,8,dalley crescent,the palms village,kingary,2607,nsw,19591019,9550440,jonah nguyen dalley crescent the palms village kingary 2607 nsw 19591019
rec-1729-org,eliza,white,82,summerland circuit,rsd shee oak ridge,thornlie,2345,qld,19420103,6353345,eliza white summerland circuit rsd shee oak ridge thornlie 2345 qld 19420103
rec-438-org,barnaby,egan,13,britten-jones drive,rawdon,kaleen,4304,vic,19270529,6442115,barnaby egan britten-jones drive rawdon kaleen 4304 vic 19270529
rec-1232-dup-1,kate,rawlings,70,corin place,oxfodrd,kuraby,4216,qld,19330925,2464828,kate rawlings corin place oxfodrd kuraby 4216 qld 19330925
rec-245-org,mackinley,rees,93,oman place,locn 2192,parmelia,3084,wa,19710708,5830377,mackinley rees oman place locn 2192 parmelia 3084 wa 19710708
rec-1228-dup-4,hayden,covino,10,glengariffe,deamer cf escent,north ryde,2705,qld,19541104,2494239,hayden covino glengariffe deamer cf escent north ryde 2705 qld 19541104
rec-1347-org,jessica,ryan,37,mccrae street,cherry haven,junortoun,6065,vic,19980225,4602238,jessica ryan mccrae street cherry haven junortoun 6065 vic 19980225
rec-1945-dup-2,bradley,clarke,40,sharwood csrescent,lynd hurat,ringwood,3959,wa,19510302,8586164,bradley clarke sharwood csrescent lynd hurat ringwood 3959 wa 19510302
rec-1454-dup-0,locylan,grosser,5,yapunyah street,youralla,gingin,5276,nsw,19530210,5071722,locylan grosser yapunyah street youralla gingin 5276 nsw 19530210
